GUID,ENUM,STRING
3F0F8318-F146-4E6B-8222-C28C8F02E0D5,GPT_TYPE_CHROMEOS_HIBERNATE,ChromeOS hibernate

824CC7A0-36A8-11E3-890A-952519AD3F61,GPT_TYPE_OPENBSD_DATA, OpenBSD Data
CEF5A9AD-73BC-4601-89F3-CDEEEEE321A1,GPT_TYPE_OPENBSD_SOFTRAID,OpenBSD softraid

9D275380-40AD-11DB-BF97-000C2911D1B8,GPT_TYPE_VMKCORE,VMWare vmkcore
AA31E02A-400F-11DB-9590-000C2911D1B8,GPT_TYPE_VMFS,VMWare VMFS

42465331-3BA3-10F1-802A-4861696B7521,GPT_TYPE_HAIKU_BFS,Haiku BFS
C91818F9-8025-47AF-89D2-F030D7000C2C,GPT_TYPE_PLAN_9,Plan 9
90B6FF38-B98F-4358-A21F-48F35B4A8AD3,GPT_TYPE_ARCA,ArcaOS Type 1
3DE21764-95BD-54BD-A5C3-4ABE786F38A8,GPT_TYPE_UBOOT,UBOOT
